iter	Passed	Remaining
202	357	1403
203	359	1401
204	360	1398
205	362	1396
206	363	1393
207	365	1391
208	366	1388
209	368	1386
210	370	1384
211	372	1382
212	375	1387
213	379	1394
214	382	1396
215	385	1399
216	388	1401
217	390	1402
218	393	1402
219	396	1405
220	398	1403
221	399	1400
222	401	1397
223	404	1402
224	406	1400
225	408	1398
226	411	1399
227	412	1397
228	413	1392
229	415	1389
230	416	1386
231	419	1388
232	421	1386
233	422	1383
234	424	1382
235	427	1383
236	428	1380
237	430	1377
238	433	1378
239	434	1376
240	435	1371
241	436	1366
242	437	1364
243	440	1365
244	442	1363
245	444	1360
246	445	1358
247	447	1356
248	448	1353
249	450	1351
250	452	1348
251	453	1346
252	456	1347
253	458	1345
254	459	1342
255	461	1342
256	463	1340
257	465	1337
258	466	1335
259	467	1331
260	470	1331
261	472	1330
262	473	1327
263	475	1325
264	477	1323
265	479	1321
266	480	1319
267	482	1317
268	484	1315
269	486	1316
270	488	1314
271	490	1311
272	491	1309
273	494	1310
274	496	1308
275	498	1307
276	501	1308
277	502	1305
278	504	1303
279	505	1300
280	507	1299
281	510	1299
282	511	1296
283	513	1294
284	515	1294
285	517	1292
286	519	1290
287	521	1288
288	523	1288
289	525	1285
290	526	1283
291	528	1280
292	529	1276
293	531	1277
294	533	1275
295	535	1272
296	536	1270
297	539	1271
298	541	1269
299	542	1266
300	544	1264
301	547	1264
302	549	1263
303	550	1260
304	552	1258
305	555	1259
306	556	1257
307	558	1255
308	560	1254
309	564	1256
310	567	1256
311	570	1257
312	572	1257
313	575	1257
314	579	1259
315	582	1259
316	584	1259
317	587	1260
318	589	1259
319	592	1259
320	595	1259
321	598	1259
322	600	1259
323	603	1259
324	605	1257
325	608	1258
326	612	1259
327	615	1260
328	618	1261
329	620	1259
330	623	1260
331	625	1258
332	628	1257
333	630	1256
334	632	1256
335	634	1254
336	637	1254
337	640	1254
338	643	1254
339	646	1254
340	648	1253
341	651	1253
342	654	1254
343	657	1254
344	660	1253
345	661	1250
346	663	1248
347	666	1247
348	668	1246
349	670	1244
350	672	1243
351	675	1242
352	676	1240
353	678	1238
354	680	1235
355	682	1234
356	684	1232
357	685	1229
358	688	1229
359	690	1227
360	692	1225
361	693	1222
362	695	1219
363	697	1218
364	698	1215
365	700	1213
366	702	1211
367	705	1210
368	706	1208
369	708	1206
370	709	1202
371	711	1200
372	713	1199
373	715	1196
374	716	1194
375	719	1194
376	721	1192
377	723	1190
378	724	1187
379	727	1186
380	729	1184
381	730	1182
382	732	1180
383	735	1179
384	737	1178
385	739	1175
386	740	1173
387	742	1171
388	743	1167
389	745	1166
390	748	1166
391	751	1165
392	754	1165
393	758	1166
394	762	1167
395	764	1166
396	768	1167
397	771	1166
398	774	1166
399	777	1166
400	780	1165
401	782	1163
402	785	1164
403	788	1163
404	792	1164
405	794	1162
406	797	1161
407	800	1161
408	804	1162
409	808	1163
410	811	1162
411	815	1163
412	817	1162
413	821	1162
414	825	1162
415	828	1162
416	831	1162
417	834	1161
418	837	1161
419	841	1161
420	844	1161
421	846	1159
422	849	1159
423	852	1158
424	855	1156
425	858	1156
426	861	1155
427	863	1154
428	868	1155
429	871	1154
430	875	1155
431	877	1153
432	880	1152
433	883	1151
434	884	1148
435	887	1147
436	889	1145
437	893	1146
438	896	1145
439	900	1146
440	903	1144
441	906	1144
442	909	1143
443	912	1143
444	916	1142
445	919	1142
446	922	1141
447	924	1138
448	926	1136
449	930	1137
450	933	1136
451	938	1137
452	941	1136
453	942	1134
454	946	1134
