STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,
Mississippi,,"Maloney, Robert",,R,18857,,
Mississippi,,"Hathcock, E. Allen",,R,12106,,
Mississippi,,,Party Votes:,R,285899,,
Mississippi,,"Gore, Albert N., Jr.",,D,49157,503467,
Mississippi,,"Weiner, Roger",,D,21131,,
Mississippi,,"Oatis, Will",,D,16300,,
Mississippi,,,Party Votes:,D,86588,,
Mississippi,,"Cramer, Thomas",,CON,Unopposed,15281,
Mississippi,,"O'Hara, Shawn",,REF,Unopposed,13194,
Mississippi,,,Total State Votes:,,372487,1241568,
,,,,,,,
Missouri ,,,,,,,
Missouri ,(I),"McCaskill, Claire",,D,289481,1494125,
Missouri ,,,Party Votes:,D,289481,,
Missouri ,,"Akin, Todd",,R,217468,1066159,
Missouri ,,"Brunner, John G.",,R,180821,,
Missouri ,,"Steelman, Sarah",,R,176189,,
Missouri ,,"Beck, Jerry",,R,9791,,
Missouri ,,"Maldonado, Hector",,R,7412,,
Missouri ,,"Poole, Robert (Bob)",,R,6097,,
Missouri ,,"Memoly, Mark",,R,3200,,
Missouri ,,"Lodes, Mark Patrick",,R,2282,,
Missouri ,,,Party Votes:,R,603260,,
Missouri ,,"Dine, Jonathan",,LIB,2470,165468,
Missouri ,,,Party Votes:,LIB,2470,,
Missouri ,,"Kimzey, Ted",,W,,15,
Missouri ,,"Duraski, Bernard J. (Spark), Jr.",,W,,9,
Missouri ,,"Dean, William ",,W,,6,
Missouri ,,"Mowinski, Bernie",,W,,5,
Missouri ,,"Bailey, Charlie",,W,,4,
Missouri ,,"Dienoff, Arnie C (AC)",,W,,2,
Missouri ,,,Total State Votes:,,895211,2725793,
,,,,,,,
Montana,,,,,,,
Montana,(I),"Tester, Jon",,D,88720,236123,
Montana,,,Party Votes:,D,88720,,
Montana,,"Rehberg, Denny",,R,105632,218051,
Montana,,"Teske, Dennis",,R,33079,,
Montana,,,Party Votes:,R,138711,,
Montana,,"Cox, Dan",,LIB,,31892,
Montana,,,Total State Votes:,,227431,486066,
,,,,,,,
Nebraska,,DISTRICT 1,,,,,
Nebraska,,,,,,,
Nebraska,,"Fischer, Deb",,R,77594,455593,
Nebraska,,"Bruning, Jon ",,R,68796,,
Nebraska,,"Stenberg, Don",,R,35984,,
Nebraska,,"Flynn, Pat",,R,5251,,
Nebraska,,"Zimmerman, Spencer",,R,1526,,
Nebraska,,"Elander, Sharyn ",,R,1236,,
Nebraska,,,Party Votes:,R,190387,,
Nebraska,,"Fischer, Deb",,N(R),2347,,
Nebraska,,"Bruning, Jon ",,N(R),1271,,
Nebraska,,"Stenberg, Don",,N(R),743,,
Nebraska,,"Flynn, Pat",,N(R),162,,
Nebraska,,"Zimmerman, Spencer",,N(R),75,,
Nebraska,,"Elander, Sharyn ",,N(R),58,,
Nebraska,,,Party Votes:,N(R),4656,,
Nebraska,,"Kerrey, Bob ",,D,65214,332979,
Nebraska,,"Hassebrook, Chuck ",,D,9721,,
Nebraska,,"Lustgarten, Steven P.",,D,2135,,
Nebraska,,"Marvin, Larry",,D,2045,,
Nebraska,,"Yates, Sherman",,D,1465,,
Nebraska,,,Party Votes:,D,80580,,
Nebraska,,"Kerrey, Bob ",,N(D),1372,,
Nebraska,,"Hassebrook, Chuck ",,N(D),165,,
Nebraska,,"Lustgarten, Steven P.",,N(D),42,,
Nebraska,,"Yates, Sherman",,N(D),35,,
Nebraska,,"Marvin, Larry",,N(D),31,,
Nebraska,,,Party Votes:,N(D),1645,,
Nebraska,,,Total State Votes:,,277268,788572,
,,,,,,,
Nevada,,,,,,,
Nevada,(I),"Heller, Dean",,R,88958,457656,
Nevada,,"Brooks, Sherry",,R,5356,,
Nevada,,None of These Candidates,,R,3358,,
Nevada,,"Hamilton, Eddie ""In Liberty""",,R,2629,,
Nevada,,"Charles, Richard",,R,2295,,
Nevada,,"Poliak, Carlo ""Nakusa""",,R,512,,
Nevada,,,Party Votes:,R,103108,,
Nevada,,"Berkley, Shelley",,D,62082,446080,
