,Type of race,State,FIPS Code,State code,Incumbent/ Incumbent Party Candidate,Opponant,Opponant Gun Control Stance,Most recent result,NYT,Predict_avg,Predict_ave_st,Vote for Good,Vote for Bad,Good vote percentage
84,House of Representatives,Michigan 11,2611,26,TBA,,,52.9% R,,3.2,2,0,0,
85,House of Representatives,Minnesota 1,2701,27,TBA,,,50.3% D,,3.0,2,0,0,
86,House of Representatives,Minnesota 2,2702,27,Jason Lewis (R),,,47.0% R,,3.0,2,0,2,0.0
87,House of Representatives,Minnesota 3,2703,27,Erik Paulsen (R),,,56.7% R,,2.8,2,0,3,0.0
88,House of Representatives,Minnesota 7,2707,27,Collin Peterson (D),,,52.5% D,,4.8,3,0,6,0.0
89,House of Representatives,Minnesota 8,2708,27,TBA,,,50.2% D,,3.0,2,0,0,
90,House of Representatives,Missouri 2,2902,29,Ann Wagner (R),,,58.5% R,,0.4,1,0,2,0.0
91,House of Representatives,Montana at-large,3000,30,Greg Gianforte (R),,,49.7% R,,1.4,1,0,1,0.0
92,House of Representatives,Nebraska 2,3102,31,Don Bacon (R),,,48.9% R,,2.25,2,0,2,0.0
93,House of Representatives,Nevada 3,3203,32,TBA,,,47.2% D,,3.75,2,0,0,
94,House of Representatives,Nevada 4,3204,32,TBA,,,48.5% D,,4.4,3,0,0,
95,House of Representatives,New Hampshire 1,3301,33,TBA,,,44.3% D,,3.75,2,0,0,
96,House of Representatives,New Hampshire 2,3302,33,Ann McLane Kuster (D),,,49.8% D,,5.4,3,2,0,100.0
97,House of Representatives,New Jersey 2,3402,34,TBA,,,59.2% R,,4.0,2,0,0,
98,House of Representatives,New Jersey 3,3403,34,Tom MacArthur (R),,,59.3% R,,1.2,1,0,2,0.0
99,House of Representatives,New Jersey 5,3405,34,Josh Gottheimer (D),,,51.1% D,,4.6,3,2,0,100.0
100,House of Representatives,New Jersey 7,3407,34,Leonard Lance (R),,,54.1% R,,3.0,2,1,2,33.0
101,House of Representatives,New Jersey 11,3411,34,TBA,,,58.0% R,,3.0,2,0,0,
102,House of Representatives,New Mexico 2,3502,35,TBA,,,62.7% R,,1.8,1,0,0,
103,House of Representatives,New York 1,3601,36,Lee Zeldin (R),,,58.2% R,,1.2,1,0,2,0.0
104,House of Representatives,New York 11,3611,36,Dan Donovan (R),,,61.5% R,,1.8,1,2,0,100.0
105,House of Representatives,New York 18,3618,36,Sean Patrick Maloney (D),,,55.6% D,,5.6,3,2,0,100.0
106,House of Representatives,New York 19,3619,36,John Faso (R),,,54.0% R,,3.0,2,0,2,0.0
107,House of Representatives,New York 22,3622,36,Claudia Tenney (R),,,46.5% R,,3.0,2,0,2,0.0
108,House of Representatives,New York 23,3623,36,Tom Reed (R),,,57.6% R,,0.2,1,0,3,0.0
109,House of Representatives,New York 24,3624,36,John Katko (R),,,60.5% R,,1.0,1,0,3,0.0
110,House of Representatives,North Carolina 2,3702,37,George Holding (R),,,56.7% R,,0.6,1,0,2,0.0
111,House of Representatives,North Carolina 8,3708,37,Richard Hudson (R),,,58.8% R,,0.4,1,0,2,0.0
112,House of Representatives,North Carolina 9,3709,37,TBA,,,58.2% R,,2.25,2,0,0,
113,House of Representatives,North Carolina 13,3713,37,Ted Budd (R),,,56.1% R,,1.6,1,0,2,0.0
114,House of Representatives,Ohio 1,3901,39,Steve Chabot (R),,,59.2% R,,1.8,1,0,5,0.0
115,House of Representatives,Ohio 7,3907,39,Bob Gibbs (R),,,64.0% R,,0.4,1,0,3,0.0
116,House of Representatives,Ohio 10,3910,39,Mike Turner (R),,,64.1% R,,0.4,1,1,3,25.0
117,House of Representatives,Ohio 12,3912,39,TBA,,,66.6% R,,2.25,2,0,0,
118,House of Representatives,Ohio 14,3914,39,David Joyce (R),,,62.6% R,,0.8,1,0,2,0.0
119,House of Representatives,Ohio 15,3915,39,Steve Stivers (R),,,66.2% R,,0.4,1,0,3,0.0
120,House of Representatives,Oklahoma 5,4005,40,Steve Russell (R),,,57.1% R,,0.2,1,0,2,0.0
121,House of Representatives,Pennsylvania 1,4201,42,Brian Fitzpatrick (R),,,(New district),,3.0,2,1,1,50.0
122,House of Representatives,Pennsylvania 5,4205,42,TBA,,,(New district),,5.0,3,0,0,
123,House of Representatives,Pennsylvania 6,4206,42,Ryan Costello (R) (Retiring),,,(New district),,5.0,3,0,0,
124,House of Representatives,Pennsylvania 7,4207,42,TBA,,,(New district),,3.5,2,0,0,
125,House of Representatives,Pennsylvania 8,4208,42,Matt Cartwright (D),,,(New district),,5.0,3,2,0,100.0
126,House of Representatives,Pennsylvania 10,4210,42,Scott Perry (R),,,(New district),,1.2,1,0,2,0.0
127,House of Representatives,Pennsylvania 14,4214,42,Open seat[c],,,(New district),,1.0,1,0,0,
128,House of Representatives,Pennsylvania 16,4216,42,Mike Kelly (R),,,(New district),,0.4,1,0,2,0.0
129,House of Representatives,Pennsylvania 17,4217,42,Keith Rothfus (R),,,,,,2,0,2,0.0
130,House of Representatives,Pennsylvania 17,4217,42,Conor Lamb (D),,,,,,2,0,0,
131,House of Representatives,South Carolina 1,4501,45,Mark Sanford (R),,,58.6% R,,0.2,1,0,2,0.0
132,House of Representatives,Texas 7,4807,48,John Culberson (R),Lizzie Pannill Fletcher OR Laura Moser (D),,56.2% R,,2.5,2,0,4,0.0
133,House of Representatives,Texas 21,4821,48,Chip Roy OR Matt McCall (R),Mary Wilson OR Joseph Kopser (D),,57.0% R,,1.0,1,0,0,
134,House of Representatives,Texas 23,4823,48,Will Hurd (R),Gina Ortez Jones OR Rick Trevino (D),,48.3% R,,2.8,2,0,2,0.0
135,House of Representatives,Texas 32,4832,48,Pete Sessions (R),Colin Allred OR Lillian Salerno (D),,71.1% R,,2.0,2,0,5,0.0
136,House of Representatives,Utah 4,4904,49,Mia Love (R),,,53.8% R,,2.2,2,0,2,0.0
137,House of Representatives,Virginia 2,5102,51,Scott Taylor (R),,,61.3% R,,1.8,1,0,2,0.0
138,House of Representatives,Virginia 5,5105,51,TBA,,,58.2% R,,1.2,1,0,0,
139,House of Representatives,Virginia 7,5107,51,Dave Brat (R),,,57.5% R,,2.0,2,0,2,0.0
140,House of Representatives,Virginia 10,5110,51,Barbara Comstock (R),,,52.7% R,,3.0,2,0,2,0.0
141,House of Representatives,Washington 3,5303,53,Jaime Herrera Beutler (R),,,61.8% R,,0.2,1,0,3,0.0
142,House of Representatives,Washington 5,5305,53,Cathy McMorris Rodgers (R),,,59.6% R,,1.6,1,0,4,0.0
143,House of Representatives,Washington 8,5308,53,TBA,,,60.2% R,,3.0,2,0,0,
144,House of Representatives,West Virginia 3,5403,54,TBA,,,67.9% R,,1.0,1,0,0,
145,House of Representatives,Wisconsin 1,5501,55,TBA,,,64.9% R,,2.4,2,0,0,
146,House of Representatives,Wisconsin 3,5503,55,Ron Kind (D),,,98.9% D,,5.6,3,0,5,0.0
147,House of Representatives,Wisconsin 6,5506,55,Glenn Grothman (R),,,57.2% R,,0.8,1,0,2,0.0
148,House of Representatives,Wisconsin 7,5507,55,Sean Duffy (R),,,61.7% R,,0.2,1,0,3,0.0
