STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES
New Jersey,,"Kean, Thomas H. Jr.",,R,129794,997775
New Jersey,,"Ginty, John P.",,R,41828,
New Jersey,,,Party Votes:,R,171622,
New Jersey,,"Flynn, Len",,LBT,,14637
New Jersey,,"Forchion, Edward",,LMP,,11593
New Jersey,,"Carter, J.M.",,GWT,,7918
New Jersey,,"Brooks, Daryl Mikell",,PPC,,5138
New Jersey,,"Smith, N. Leonard",,SDF,,6243
New Jersey,,"Pason, Gregory ",,SUS,,2490
New Jersey,,"Lariscy, Angela L. ",,SWP,,3433
New Jersey,,,Senate Votes:,,361566,2250070
New Mexico,(I),"Bingaman, Jeff",,D,115198,394365
New Mexico,,,Party Votes:,D,115198,
New Mexico,,"McCulloch, Allen W., MD",,R,29592,163826
New Mexico,,"Carraro, Joseph J.",,R,18312,
New Mexico,,"Pfeffer, David",,R,10070,
New Mexico,,,Party Votes:,R,57974,
New Mexico,,"Cole, Orlin G.",,W,,359
New Mexico,,,Senate Votes:,,173172,558550
New York,(I),"Clinton, Hillary Rodham",,D,640955,2698931
New York,,"Tasini, Jonathan B.",,D,124999,
New York,,,Party Votes:,D,765954,
New York,(I),"Clinton, Hillary Rodham",,IDP,Unopposed,160705
New York,(I),"Clinton, Hillary Rodham",,WF,Unopposed,148792
New York,,"Spencer, John",,R,114914,1212902
New York,,"McFarland, K. T.",,R,74108,
New York,,,Party Votes:,R,189022,
New York,,"Spencer, John",,CRV,Unopposed,179287
New York,,"Hawkins, Howie",,GRE,,55469
New York,,"Russell, Jeffrey T.",,LBT,,20996
New York,,"Van Auken, Willam",,SEP,,6004
New York,,"Calero, Roger",,SWP,,6967
New York,,,Senate Votes:,,954976,4490053
North Dakota,(I),"Conrad, Kent",,DNL,58231,150146
North Dakota,,,Party Votes:,DNL,58231,
North Dakota,,"Grotberg, Dwight",,R,40647,64417
North Dakota,,,Party Votes:,R,40647,
North Dakota,,"Riemers, Roland",,IND,,2194
North Dakota,,"Germalic, James",,IND,,1395
North Dakota,,,Senate Votes:,,98878,218152
Ohio,,"Brown, Sherrod",,D,583776,2257369
Ohio,,"Keiser, Merrill Samuel, Jr.",,D,163628,
Ohio,,,Party Votes:,D,747404,
Ohio,(I),"DeWine, Mike",,R,565580,1761037
Ohio,,"Smith, David R.",,R,114186,
Ohio,,"Pierce, William G.",,R,108978,
Ohio,,,Party Votes:,R,788744,
Ohio,,"Duncan, Richard ",,W,n/a,830
Ohio,,,Senate Votes:,,1536148,4019236
Pennsylvania,,"Casey, Bob, Jr.",,D,629271,2392984
Pennsylvania,,"Pennacchio, Chuck",,D,66364,
Pennsylvania,,"Sandals, Alan",,D,48113,
Pennsylvania,,Scattered,,W(D),1114,
Pennsylvania,,,Party Votes:,D,744862,
Pennsylvania,(I),"Santorum, Rick ",,R,561952,1684778
Pennsylvania,,Scattered,,W(R),3631,
Pennsylvania,,,Party Votes:,R,565583,
Pennsylvania,,Scattered,,W,,3281
Pennsylvania,,,Senate Votes:,,1310445,4081043
Rhode Island,,"Whitehouse, Sheldon",,D,69301,206110
Rhode Island,,"Young, Christopher F.",,D,8941,
Rhode Island,,"Sheeler, Carl L.",,D,6758,
Rhode Island,,,Party Votes:,D,85000,
Rhode Island,(I),"Chafee, Lincoln D.",,R,34939,179001
Rhode Island,,"Laffey, Stephen P.",,R,29556,
Rhode Island,,,Party Votes:,R,64495,
Rhode Island,,"Laffey, Steven",,W,,185
Rhode Island,,"Chaffee, John",,W,,68
Rhode Island,,"Mouse, Mickey",,W,,17
Rhode Island,,"Bush, George W.",,W,,16
Rhode Island,,"Healey, Robert J.",,W,,15
Rhode Island,,"Whitehouse, Sheldon",,W,,8
Rhode Island,,"Driver, Rod",,W,,6
Rhode Island,,"Cianci, Buddy",,W,,5
Rhode Island,,"Sheeler, Carl",,W,,5
Rhode Island,,"Young, Chris",,W,,5
Rhode Island,,"Bush, G. W.",,W,,5
Rhode Island,,"Chaffee, Lincoln",,W,,5
Rhode Island,,,Senate Votes:,,149495,385451
Tennessee,,"Corker, Bob",,R,231541,929911
Tennessee,,"Bryant, Ed",,R,161189,
Tennessee,,"Hilleary, Van",,R,83078,
Tennessee,,"Harrison, Tate",,R,5309,
Tennessee,,,Party Votes:,R,481117,
Tennessee,,"Ford, Harold, Jr.",,D,333789,879976
Tennessee,,"Davis, Gary G.",,D,41802,
Tennessee,,"Hooker, John Jay",,D/W,27175,13
Tennessee,,"Smith, Charles E.",,D,14724,
Tennessee,,"Strauss, Al",,D,4410,
Tennessee,,"Maynard, Jim",,W(D),96,
Tennessee,,,Party Votes:,D,421996,
Tennessee,,"Choate, Ed ",,IND,,10831
Tennessee,,"Gatchell, David",,IND,,3746
Tennessee,,"Heyward, Emory ""Bo""",,IND,,3580
Tennessee,,"Keplinger, Gary",,IND,,3033
Tennessee,,"Lugo, Christopher Joseph",,IND,,2589
Tennessee,,"Gray, James Anthony",,W,,14
Tennessee,,"Price, Gloria D. Reagon",,W,,1
Tennessee,,"Taylor-Shelby, Mary",,W,,1
Tennessee,,,Senate Votes:,,903113,1833695
Texas,(I),"Hutchison, Kay Bailey",,R,627163,2661789
Texas,,,Party Votes:,R,627163,
Texas,,"Radnofsky, Barbara Ann",,D,215776,1555202
Texas,,"Kelly, Gene ",,D,191400,
Texas,,"Hunter, Darrel Reece ",,D,93609,
Texas,,,Party Votes:,D,500785,
Texas,,"Jameson, Scott Lanier",,LBT,*,97672
Texas,,,Senate Votes:,,1127948,4314663
Utah,(I),"Hatch, Orrin G.",,R,*,356238
Utah,,"Jenkins, Brian E.",,R,,
Utah,,"Levine, Ronald H.",,R,,
Utah,,"Ridgway, Michael T.",,R,,
Utah,,"Ashdown, Pete",,D,*,177459
Utah,,"Bradley, Scott N.",,CON,*,21526
Utah,,"Price, Roger I.",,PCH,*,9089
Utah,,"Labonte, Joseph",,PCH,,
Utah,,"Seely, Dave Starr",,LBT,*,4428
Utah,,"Hatch, Julian",,DGR,*,2512
Utah,,,Senate Votes:,,,571252
Vermont,,"Sanders, Bernard",,IND,,171638
Vermont,,"Tarrant, Rich",,R,22008,84924
Vermont,,"Parke, Greg",,R,10479,
Vermont,,"Ericson, Cris",,R/IND,1722,1735
Vermont,,Scattered,,W(R),1382,
Vermont,,,Party Votes:,R,35591,
Vermont,,"Diamondstone, Pete",,LU,160,801
Vermont,,Scattered,,W(LU),9,
Vermont,,,Party Votes:,LU,169,
Vermont,,"Hill, Craig",,VGR,,1536
Vermont,,"Moss, Peter",,ABC,,1518
Vermont,,Scattered,,W,,267
Vermont,,"Sanders, Bernard",,D,35954,
Vermont,,"Thabault, Louis W.",,D,585,
Vermont,,"Hill, Craig",,D,504,
Vermont,,"Drown, Larry",,D,403,
Vermont,,"Moss, Peter D.",,D,385,
Vermont,,Scattered,,W(D),355,
Vermont,,,Party Votes:,D,38186,
Vermont,,Scattered,,W(PRO),172,
Vermont,,,Party Votes:,PRO,172,
Vermont,,,Senate Votes:,,74118,262419
Virginia,,"Webb, James H. ""Jim,"" Jr.",,D,83298,1175606
Virginia,,"Miller, Harris N.",,D,72486,
