STATE,D,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,,
Louisiana,S,,"Clements, Thomas",,R,n/a,14173,,
Louisiana,S,,"McMorris, Brannon Lee",,LIB,n/a,13034,,
Louisiana,S,,"Ables, Wayne",,D,n/a,11323,,
Louisiana,S,,"Waymire, William P., Jr.",,D,n/a,4673,,
Louisiana,S,,"Senegal, Vallian",,D,n/a,3835,,
Louisiana,S,,,Total State Votes:,,,1472044,,
,,,,,,,,,
Maine,S,(I),"Collins, Susan M.",,R,53416,413495,,
Maine,S,,"Bennett, Erick",,W(R),615,,,
Maine,S,,,Party Votes:,R,54031,,,
Maine,S,,"Bellows, Shenna",,D,47909,190244,,
Maine,S,,,Party Votes:,D,47909,,,
Maine,S,,Others,,W,,269,,
Maine,S,,,Total State Votes:,,101940,604008,,
,,,,,,,,,
Massachusetts,S,(I),"Markey, Edward J.",,D,402433,1289944,,
Massachusetts,S,,All Others,,W(D),6986,,,
Massachusetts,S,,,Party Votes:,D,409419,,,
Massachusetts,S,,"Herr, Brian J.",,R,117216,791950,,
Massachusetts,S,,All Others,,W(R),872,,,
Massachusetts,S,,,Party Votes:,R,118088,,,
Massachusetts,S,,All Others,,W,,3072,,
Massachusetts,S,,"Muello, Brian R.",,W,,6,,
Massachusetts,S,,,Total State Votes:,,527507,2084972,,
,,,,,,,,,
Michigan,S,,"Peters, Gary",,D,504102,1704936,,
Michigan,S,,,Party Votes:,D,504102,,,
Michigan,S,,"Land, Terri Lynn",,R,588084,1290199,,
Michigan,S,,,Party Votes:,R,588084,,,
Michigan,S,,"Fulner, Jim",,LIB,*,62897,,
Michigan,S,,"Matkin, Richard A.",,UST,*,37529,,
Michigan,S,,"Wahmhoff, Chris",,GRE,*,26137,,
Michigan,S,,"Jones, Jeff",,W,,67,,
Michigan,S,,"Boensch, Robert",,W,,6,,
Michigan,S,,"Troszak, Douglas",,W,,4,,
Michigan,S,,,Total State Votes:,,1092186,3121775,,
,,,,,,,,,
Minnesota,S,(I),"Franken, Al",,DFL,182720,1053205,,
Minnesota,S,,"Henningsgard, Sandra",,DFL,10627,,,
Minnesota,S,,,Party Votes:,DFL,193347,,,
Minnesota,S,,"McFadden, Mike",,R,129601,850227,,
Minnesota,S,,"Abeler, Jim",,R,26714,,,
Minnesota,S,,"Carlson, David",,R,16449,,,
