STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES 
,,,,,,
Kansas,(I),"Moran, Jerry",,R ,230907,732376
Kansas,,"Smith, DJ",,R ,61056,
Kansas,,,Party Votes:,R,291963,
Kansas,,"Wiesner, Patrick",,D ,59522,379740
Kansas,,"Singh, Monique",,D ,35042,
Kansas,,,Party Votes:,D,94564,
Kansas,,"Garrard, Robert D.",,LIB,*,65760
Kansas,,"Smith, DJ",,W,,46
Kansas,,,Total State Votes:,,386527,1177922
Kansas,,,,,,
,,,,,,
Kentucky,(I),"Paul, Rand",,R,169180,1090177
Kentucky,,"Gould, James R.",,R,16611,
Kentucky,,"Slaughter, Stephen Howard",,R,13728,
Kentucky,,,Party Votes:,R,199519,
Kentucky,,"Gray, Jim",,D,240598,813246
Kentucky,,"Wilder, Sellus",,D,52729,
Kentucky,,"Leach, Ron",,D,39026,
Kentucky,,"Recktenwald, Tom",,D,21910,
Kentucky,,"Short, Grant T.",,D,21558,
Kentucky,,"Kender, Jeff",,D,20237,
Kentucky,,"Houlihan, Rory",,D,13585,
Kentucky,,,Party Votes:,D,409643,
Kentucky,,"Wilson, Billy Ray",,W,,36
Kentucky,,"Doss, Angel",,W,,6
Kentucky,,,Total State Votes:,,609162,1903465
,,,,,,
Louisiana,,"Kennedy, John",,R,,482591
Louisiana,,"Campbell, Foster",,D,,337833
Louisiana,,"Boustany, Charles",,R,,298008
Louisiana,,"Fayard, Caroline",,D,,240917
Louisiana,,"Fleming, John",,R,,204026
Louisiana,,"Maness, ""Rob""",,R,,90856
Louisiana,,"Duke, David",,R,,58606
Louisiana,,"Edwards, Derrick",,D,,51774
Louisiana,,"Landrieu, Gary",,D,,45587
Louisiana,,"Crawford, Donald ""Crawdaddy""",,R,,25523
Louisiana,,"Cao, ""Joseph""",,R,,21019
Louisiana,,"Billiot, Beryl",,NPA,,19352
Louisiana,,"Clements, Thomas P.",,LIB,,11370
Louisiana,,"Hebert, Troy",,NPA,,9503
Louisiana,,"Pellerin, Joshua",,D,,7395
Louisiana,,"Williams, Peter",,D,,6855
Louisiana,,"Mendoza, MV ""Vinny""",,D,,4927
Louisiana,,"Marone, Kaitlin",,NPA,,4108
Louisiana,,"Gillam, Le Roy",,LIB,,4067
Louisiana,,"Marsala, Charles",,R,,3684
Louisiana,,"Patel, Abhay",,R,,1576
Louisiana,,"Wells, Arden",,NPA,,1483
Louisiana,,"Lang, William Robert ""Bob,"" Jr.",,OTH,,1424
Louisiana,,"Taylor, Gregory, Jr.",,OTH,,1151
Louisiana,,,Total State Votes:,,,1933635
Louisiana,,,,,,
,,,,,,
Maryland,,"Van Hollen, Chris",,D,470320,1659907
Maryland,,"Edwards, Donna F.",,D,343620,
Maryland,,"Dickson, Freddie Donald, Jr.",,D,14856,
Maryland,,"Scaldaferri, Theresa C.",,D,13178,
Maryland,,"Staley, Violet",,D,10244,
Maryland,,"Young, Lih",,D,8561,
Maryland,,"Smith, Charles U.",,D,7912,
Maryland,,"Jaffe, Ralph",,D,7161,
Maryland,,"Taylor, Blaine",,D,5932,
Maryland,,"Tinus, Ed",,D,2560,
Maryland,,,Party Votes:,D,884344,
Maryland,,"Szeliga, Kathy",,R,135337,972557
Maryland,,"Chaffee, Chris",,R,52066,
Maryland,,"Kefalas, Chrys",,R,36340,
Maryland,,"Douglas, Richard J.",,R,29007,
Maryland,,"Wallace, Dave",,R,23226,
Maryland,,"Connor, Sean P.",,R,21727,
Maryland,,"Richardson, Lynn",,R,20972,
Maryland,,"Graziani, John R.",,R,16722,
Maryland,,"Holmes, Greg",,R,16148,
Maryland,,"McNicholas, Mark",,R,9988,
Maryland,,"Hooe, Joseph David",,R,8282,
Maryland,,"Seda, Anthony",,R,3873,
