STATE,DISTRICT,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES
Illinois,S,,"Hill, Norm",,R,5637,
Illinois,S,,"Kathuria, Chirinjeev",,R,5110,
Illinois,S,,,Party Votes:,R,661804,
Illinois,S,,"Franzen, Albert J.",,I,,81164
Illinois,S,,"Kohn, Jerry",,LBT,,69253
Illinois,S,,"Kuhnke, Bill",,W,,2268
Illinois,S,,"Doody, Scott",,W,,339
Illinois,S,,"McArthur-Self, Donald",,W,,134
Illinois,S,,"Campbell, Kathy",,W ,,129
Illinois,S,,"Bill, Shaun L.",,W,,37
Illinois,S,,"Hester, Marcus",,W,,23
Illinois,S,,"Carlson, Tom",,W,,20
Illinois,S,,"McDowell, Orlando",,W,,5
Illinois,S,,"Brumfield, Arthur C.",,W,,1
Illinois,S,,"Seida, Lowell",,W,,1
Illinois,S,,,Senate Votes:,,1904800,5141520
Indiana,S,(I),"Bayh, Evan",,D,304267,1496976
Indiana,S,,,Party Votes:,D,304267,
Indiana,S,,"Scott, Marvin",,R,335215,903913
Indiana,S,,,Party Votes:,R,335215,
Indiana,S,,"Barger, Albert",,LBT,*,27344
Indiana,S,,,Senate Votes:,,639482,2428233
Iowa,S,(I),"Grassley, Chuck",,R,78819,1038175
Iowa,S,,Scattered,,W(R),218,
Iowa,S,,,Party Votes:,R,79037,
Iowa,S,,"Small, Arthur",,D,52318,412365
Iowa,S,,Scattered,,W(D),398,
Iowa,S,,,Party Votes:,D,52716,
Iowa,S,,"Welty, Christy Ann",,LBT,,15218
Iowa,S,,"Northrop, Daryl A.",,IG,,11121
Iowa,S,,"Fruit, Edwin B.",,SWP,,1874
Iowa,S,,Scattered,,W,,475
Iowa,S,,,Senate Votes:,,131753,1479228
Kansas,S,(I),"Brownback, Samuel D.",,R,286839,780863
Kansas,S,,"Naramore, Arch",,R,42880,
Kansas,S,,,Party Votes:,R,329719,
Kansas,S,,"Conroy, Robert A.",,D,61052,
Kansas,S,,"Jones, Lee",,D,48133,310337
Kansas,S,,,Party Votes:,D,109185,
Kansas,S,,"Rosile, Steven A.",,LBT,,21842
Kansas,S,,"Cook, George",,REF,,15980
Kansas,S,,,Senate Votes:,,438904,1129022
Kentucky,S,(I),"Bunning, Jim",,R,96545,873507
Kentucky,S,,"Metcalf, Barry",,R,18395,
Kentucky,S,,,Party Votes:,R,114940,
Kentucky,S,,"Mongiardo, Daniel",,D,142162,850855
Kentucky,S,,"Williams, David L.",,D,76807,
Kentucky,S,,,Party Votes:,D,218969,
Kentucky,S,,,Senate Votes:,,333909,1724362
Louisiana,S,,"Vitter, David",,R,n/a,943014
Louisiana,S,,"John, ""Chris""",,D,n/a,542150
Louisiana,S,,"Kennedy, John",,D,n/a,275821
Louisiana,S,,"Morrell, Arthur A.",,D,n/a,47222
Louisiana,S,,"Fontanesi, Richard M.",,O,n/a,15097
Louisiana,S,,"Galan, R.A. ""Skip""",,O,n/a,12463
Louisiana,S,,"Melton, Sam Houston, Jr.",,D,n/a,12289
Louisiana,S,,,Senate Votes:,,n/a,1848056
Maryland,S,(I),"Mikulski, Barbara A.",,D,408848,1504691
Maryland,S,,"Kaufman, A. Robert",,D,32127,
Maryland,S,,"Altman, Sid",,D,13901,
Maryland,S,,,Party Votes:,D,454876,
Maryland,S,,"Pipkin, E.J. ",,R,70229,783055
Maryland,S,,"Stafford, John ",,R,14661,
Maryland,S,,"Martin, Eileen ""Cookie Baker""",,R,11748,
Maryland,S,,"Jennings, Dorothy Corry ",,R,10401,
Maryland,S,,"Gordon, Earl S.",,R,8233,
Maryland,S,,"Zarwell, Gene ",,R,6865,
Maryland,S,,"Bly, Ray",,R/W,6244,109
Maryland,S,,"Kodak, James A. ",,R,5328,
Maryland,S,,"Vaughn, Corrogan R.",,R,5146,
Maryland,S,,,Party Votes:,R,138855,
Maryland,S,,"Allwine, Maria",,GRN,,24816
Maryland,S,,"Trump, Thomas",,CON,,9009
Maryland,S,,Scattered,,W,,1252
Maryland,S,,"Gemmill, Robert, II",,W,,204
Maryland,S,,"Gayle-El, Dennard A., Sr.",,W,,47
Maryland,S,,,Senate Votes:,,593731,2323183
Missouri,S,(I),"Bond, Christopher (Kit)",,R,541998,1518089
Missouri,S,,"Steger, Mike",,R,73354,
Missouri,S,,,Party Votes:,R,615352,
Missouri,S,,"Farmer, Nancy",,D,544830,1158261
Missouri,S,,"Berry, Charles",,D,143229,
Missouri,S,,"Bonar, Ronald",,D,51375,
Missouri,S,,,Party Votes:,D,739434,
Missouri,S,,"Tull, Kevin",,LBT,3916,19648
Missouri,S,,,Party Votes:,LBT,3916,
Missouri,S,,"Griffin, Don",,CON,,10404
Missouri,S,,,Senate Votes:,,1358702,2706402
Nevada,S,(I),"Reid, Harry",,D,Unopposed,494805
Nevada,S,,"Ziser, Richard",,R,40533,284640
Nevada,S,,"Wegner, Kenneth A.",,R,21406,
Nevada,S,,"Brown, Robert ""Bob""",,R,19553,
Nevada,S,,None of These Candidates,,R,16827,
Nevada,S,,"Melton, Royle William",,R,10552,
Nevada,S,,"Tilley, Cherie M.",,R,10357,
Nevada,S,,"Poliak, Carlo",,R,1769,
Nevada,S,,,Party Votes:,R,120997,
Nevada,S,,None of These Candidates,,,,12968
Nevada,S,,"Hurst, Thomas L.",,LBT,,9559
Nevada,S,,"Schumann, David K.",,IAP,,6001
Nevada,S,,"Marinch, Gary",,NL,,2095
Nevada,S,,,Senate Votes:,,120997,810068
New Hampshire,S,(I),"Gregg, Judd",,R,60597,434847
New Hampshire,S,,"Alciere, Tom",,R,2682,
New Hampshire,S,,"Tipa, Michael D.",,R,2563,
New Hampshire,S,,Scattered,,W(R),179,
New Hampshire,S,,"Haddock, Doris R.",,W(R),143,
New Hampshire,S,,,Party Votes:,R,66164,
New Hampshire,S,,"Haddock, Doris Granny D.",,D,46745,221549
New Hampshire,S,,Scattered,,W(D),553,
New Hampshire,S,,"Gregg, Judd",,W(D),375,
New Hampshire,S,,"Alciere, Tom",,W(D),3,
New Hampshire,S,,"Tipa, Michael D.",,W(D),3,
New Hampshire,S,,,Party Votes:,D,47679,
New Hampshire,S,,Scattered,,W,,588
New Hampshire,S,,"Blevens, Ken",,W,,102
New Hampshire,S,,,Senate Votes:,,113843,657086
New York,S,(I),"Schumer, Charles",,,,4769824
New York,S,(I),"Schumer, Charles",,D,Unopposed,4384907
New York,S,(I),"Schumer, Charles",,IDP,Unopposed,216198
New York,S,(I),"Schumer, Charles",,WF,Unopposed,168719
New York,S,,"Mills, Howard",,R,Unopposed,1625069
New York,S,,"O'Grady, Marilyn F.",,C,Unopposed,220960
New York,S,,"McReynolds, David E.",,GRN,,36942
New York,S,,"Silberger, Donald",,LBT,,19073
